qor_admin.form.select_many_hint_button,DONE,DONE,
qor_admin.form.select_many_selectall,,select all,
qor_admin.form.show.title,,{{$1}} Details,
qor_admin.form.submit,Submit,,
qor_admin.form.successfully_created,{{.Name}} was successfully created,,
qor_admin.form.successfully_updated,{{.Name}} was successfully updated,,
qor_admin.form.undo,,UNDO,
qor_admin.layout.header.actions,Actions,Actions,
qor_admin.layout.logo,"<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>","<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>",
qor_admin.layout.powered_by,"Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>","Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>",
qor_admin.layout.skip_to_content,Skip to content,Skip to content,
qor_admin.layout.title,Admin,Admin,
qor_admin.menus.Abandoned Orders,Abandoned Orders,Abandoned Orders,
qor_admin.menus.Articles,Articles,Articles,
qor_admin.menus.Banners,Banners,Banners,
qor_admin.menus.Building Types,Building Types,Building Types,
qor_admin.menus.Categories,Categories,Categories,
qor_admin.menus.Collections,Collections,Collections,
qor_admin.menus.Colors,Colors,Colors,
qor_admin.menus.Company Setting,Company Setting,Company Setting,
qor_admin.menus.Dashboard,Dashboard,Dashboard,
qor_admin.menus.Delivery Methods,Delivery Methods,Delivery Methods,
qor_admin.menus.Directions,Directions,Directions,
qor_admin.menus.Districts,Districts,Districts,
qor_admin.menus.Events,Events,Events,
qor_admin.menus.Facilities,Facilities,Facilities,
qor_admin.menus.Floor Zones,Floor Zones,Floor Zones,
qor_admin.menus.List Properties,List Properties,List Properties,
qor_admin.menus.Materials,Materials,Materials,
qor_admin.menus.Media Libraries,Media Libraries,Media Libraries,
qor_admin.menus.Message Management,Message Management,Message Management,
qor_admin.menus.Messages,Messages,Messages,
qor_admin.menus.No Of Bath Rooms,No Of Bath Rooms,No Of Bath Rooms,
qor_admin.menus.No Of Bed Rooms,No Of Bed Rooms,No Of Bed Rooms,
qor_admin.menus.Order Management,Order Management,Order Management,
qor_admin.menus.Orders,Orders,Orders,
qor_admin.menus.Outdoors,Outdoors,Outdoors,
qor_admin.menus.PageBuilderWidgets,PageBuilderWidgets,PageBuilderWidgets,
qor_admin.menus.Pages,Pages,Pages,
qor_admin.menus.Pages Management,Pages Management,Pages Management,
qor_admin.menus.Position Management,Position Management,Position Management,
qor_admin.menus.Positions,Positions,Positions,
qor_admin.menus.Product Images,Product Images,Product Images,
qor_admin.menus.Product Management,Product Management,Product Management,
qor_admin.menus.Products,Products,Products,
qor_admin.menus.Properties,Properties,Properties,
qor_admin.menus.Property Layouts,Property Layouts,Property Layouts,
qor_admin.menus.Property Management,Property Management,Property Management,
qor_admin.menus.Property Settings,Property Settings,Property Settings,
qor_admin.menus.Property Types,Property Types,Property Types,
qor_admin.menus.Property Views,Property Views,Property Views,
qor_admin.menus.Publishing,Publishing,Publishing,
qor_admin.menus.Rooms,Rooms,Rooms,
qor_admin.menus.SEO Setting,SEO Setting,SEO Setting,
qor_admin.menus.Schedules,Schedules,Schedules,
qor_admin.menus.Shop Setting,Shop Setting,Shop Setting,
qor_admin.menus.Site Management,Site Management,Site Management,
qor_admin.menus.Sizes,Sizes,Sizes,
qor_admin.menus.Translations,Translations,Translations,
qor_admin.menus.User Management,User Management,User Management,
qor_admin.menus.Users,Users,Users,
qor_admin.menus.Widget Contents,Widget Contents,Widget Contents,
qor_admin.menus.Workers,Workers,Workers,
qor_admin.pagination.100_entries,,100 Entries per page,100 Entries per page
qor_admin.pagination.20_entries,,20 Entries per page,20 Entries per page
qor_admin.pagination.50_entries,,50 Entries per page,50 Entries per page
qor_admin.pagination.first,,First Page,First Page
qor_admin.pagination.last,,Last Page,Last Page
qor_admin.pagination.next,,Next Page,Next Page
qor_admin.pagination.page_num,,Page {{.Pages}},Page {{.Pages}}
qor_admin.pagination.previous,,Previous Page,Previous Page
qor_admin.pagination.show_all,,Show All Entries,Show All Entries
qor_admin.publish.button.versions,VERSIONS,VERSIONS,
qor_admin.publish.hint.this_version_is_live,This version is live,This version is live,
qor_admin.publish.hint.view_all_versions_to_see_which_is_live,View all versions to see which is live,View all versions to see which is live,
qor_admin.showpage.inlineedit.button.cancel_edit,,cancel edit,
qor_admin.showpage.inlineedit.button.save,,save,
qor_helo.category.all,All,,
qor_help.categories.articles,Article,,
qor_help.categories.asset_managers,Asset Manager,,
qor_help.categories.banners,Banner,,
qor_help.categories.building_types,Building Type,,
qor_help.categories.company_setting,Company Setting,,
qor_help.categories.directions,Direction,,
qor_help.categories.districts,District,,
qor_help.categories.facilities,Facility,,
qor_help.categories.floor_zones,Floor Zone,,
qor_help.categories.list_properties,List Property,,
qor_help.categories.media_libraries,Media Library,,
qor_help.categories.messages,Message,,
qor_help.categories.my_seo_settings,My SEO Setting,,
qor_help.categories.no_of_bath_rooms,No Of Bath Rooms,,
qor_help.categories.no_of_bed_rooms,No Of Bed Rooms,,
qor_help.categories.outdoors,Outdoor,,
qor_help.categories.page_builder_widgets,PageBuilderWidgets,,
qor_help.categories.pages,Pages,,
qor_help.categories.positions,Position,,
qor_help.categories.properties,Property,,
qor_help.categories.property_layouts,Property Layouts,,
qor_help.categories.property_types,Property Type,,
qor_help.categories.property_views,Property Views,,
qor_help.categories.rooms,Room,,
qor_help.categories.scheduled_events,Event,,
qor_help.categories.schedules,Schedule,,
qor_help.categories.seo_global_settings,SEO Global Setting,,
qor_help.categories.seo_setting,SEO Setting,,
qor_help.categories.shop_setting,Shop Setting,,
qor_help.categories.translations,Translation,,
qor_help.categories.users,User,,
qor_help.categories.widget_contents,Widget Content,,
qor_help.categories.workers,Worker,,
qor_help.check_all_documents,Check All Documents,,
qor_help.no_document,No document,,
qor_help.no_document_for,No document for {{$1}},,
qor_i18n.actions.export_translations,,Export Translations,Export Translations
qor_i18n.actions.import_translations,,Import Translations,Import Translations
qor_i18n.form.cancel_edit,,Cancel Edit,Cancel Edit
qor_i18n.form.copy,,Copy,Copy
qor_i18n.form.save,,Save,Save
qor_i18n.form.saved,,Saved,Saved
qor_i18n.form.source,,Source,Source
qor_i18n.form.target,,Target,Target
qor_i18n.form.translation_title,,Translation,Translation
qor_media_library.form.cancel,Cancel,Cancel,
qor_media_library.form.choose_file,Choose File,Choose File,
qor_media_library.form.choose_file.max_hint,,Choose up to {{$1}} item(s),
qor_media_library.form.crop_image,Crop the image,Crop the image,
qor_media_library.form.crop_image.undo_delete,Undo delete,Undo delete,
qor_media_library.form.ok,,OK,
qor_media_library.form.save,SAVE,SAVE,
qor_notification.actions.Check It Out,Check It Out,,
qor_notification.actions.Confirm,Confirm,,
qor_notification.actions.Dismiss,Dismiss,,
qor_notification.hints.load_more,LOAD MORE...,,
qor_notification.hints.loading,LOADING...,,
qor_notification.hints.undo,undo,,
qor_publish.action_bar.include_content_that_not_publish_ready,Include content that is not Publish-ready,,
qor_publish.action_bar.time_travel,Time Travel,,
qor_publish.action_bar.title.filter_by,TIME TRAVEL/PUBLISH STATE…,,
